name	country	dob	pob	height	hometown	occupation	hobbies	start_career	club_name	coach	choreographer	former_coach	practice_on_ice_low_season	low_season_practice_place	practice_on_ice_high_season	high_season_practice_place	html	first_name	last_name
Marc CASAL	AND	1987-08-13	Canillo	167	Canillo	student	skiing, motor-cross	1992	Orient Club Sez, Canillo	Andrei Efremov	Ivan Saez	NA	23	Canillo	13	Canillo	http://www.isuresults.com/bios/isufs00005472.htm	Marc	CASAL
Mauro CALCAGNO	ARG	2000-06-01	Argentina	160	San Carlos de Bariloche	student	music, Italian dance, friends	2010	ACEPHBA	Estrella Marinucci	Estrella Marinucci	NA	20	San Carlos de Bariloche	NA	NA	http://www.isuresults.com/bios/isufs00035337.htm	Mauro	CALCAGNO
Denis MARGALIK	ARG	1997-06-03	Buenos Aires	175	Richmond Hill CAN	student	baseball, basketball, hockey, soccer, hanging out with friends	2005	AREPH	Andrei Berezintsev, Inga Zusev	Lori Nichol, Andrei Berezintsev	Robert O'Toole	28	Richmond Hill/CAN	23	Richmond Hill/CAN	http://www.isuresults.com/bios/isufs00013644.htm	Denis	MARGALIK
Pierre BALIAN	ARM	1983-08-09	Los Angeles USA	173	Los Angeles USA	NA	tennis, snowboarding, racing cars, dancing	1994	NA	Ari Zakarian	NA	Irina Rodnina	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00008506.htm	Pierre	BALIAN
Aramais GRIGORIAN	ARM	1973-03-31	Yerevan	173	Yerevan	Coach	NA	1978	Shengavid, Yerevan	Marine Bareseghyan, Armen Asoyan	Garush Khunyan	Samuel Hairapetian, Suren Ashkhatoyan	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00001904.htm	Aramais	GRIGORIAN
Sarkis HAYRAPETYAN	ARM	1992-07-22	Erevan	177	Erevan	soldier	hockey, billards, bowling	2000	NA	Samvel Hayrapetyan	Armine Hayrapetyan, Ekaterina Proskurina	NA	18	Tsakhkadzor, Erivan	18	Tukums/LAT	http://www.isuresults.com/bios/isufs00008775.htm	Sarkis	HAYRAPETYAN
Slavik HAYRAPETYAN	ARM	1996-03-16	Erevan	170	Erevan	student	billiards, bowling	2005	Erevan FSC	Samvel Hayrapetyan, Alexei Urmanov	Irina Zhuk	NA	24	Erevan, Taskhkazor	16	Sotchi/RUS	http://www.isuresults.com/bios/isufs00012102.htm	Slavik	HAYRAPETYAN
Hovhannes MKRTCHYAN	ARM	1991-10-08	Yerevan	181	Odessa UKR	student	music, movies, sports, girls	1997	SK Figure Skating Yerevan	Rafael Arutunian	Nadezhda Kanaeva, Vera Arutunian	Elena Onishenko	30	Lake Arrowhead/USA	29	Lake Arrowhead/USA	http://www.isuresults.com/bios/isufs00007872.htm	Hovhannes	MKRTCHYAN
Gegham VARDANYAN	ARM	1988-03-29	Yerevan	168	Yerevan	student	music, computer games	1992	Shengavit	Armen Asoyan	Garush Khunyan	NA	23	Yerevan	23	Yerevan	http://www.isuresults.com/bios/isufs00006011.htm	Gegham	VARDANYAN
Andrew BASSI	AUS	1987-02-18	Adelaide	171	Adelaide	student	NA	NA	NA	Bernadette Mercurio, George Galanis	NA	NA	19	Adelaine and Sydney	19	Adelaine and Sydney	http://www.isuresults.com/bios/isufs00006105.htm	Andrew	BASSI
Stuart BECKINGHAM	AUS	1981-05-26	Canberra	178	Sydney	Research Assistant, Student	taekwondo, surfing	1988	Macquarie Ice Skating Club	Sally Patton, Michael Pasfield	Slav Baboshyn	Reg Park, Jan Ullmark, Vladimir Petrenko	16	Sydney	16	Canberra	http://www.isuresults.com/bios/isufs00002328.htm	Stuart	BECKINGHAM
Sean CARLOW	AUS	1985-03-13	Sydney	171	Sydney	full time skater	music, skiing, family	1987	Macquarie Ice Skating Club	Liz Cain, Brian Orser	Liz Cain, David Wilson	Galina Pachin, Peter Cain	17	Sydney AUS, Toronto CAN	20	Sydney AUS, Toronto CAN	http://www.isuresults.com/bios/isufs00004961.htm	Sean	CARLOW
Mitchell CHAPMAN	AUS	1988-07-19	Brisbane	175	Brisbane	student, athlete	surfing, reading, architecture	1995	Boondall FSC	Valentin Nikolaev	Rostislav Sinicyn	Andrei Antonov	32	Richmond/USA	25	Richmond/USA	http://www.isuresults.com/bios/isufs00007688.htm	Mitchell	CHAPMAN
Jason DALE	AUS	1987-06-17	Canberra	178	Canberra	student	NA	1996	Canberra Ice Skating Club	Sally Patton	Sally Patton, Rinat Sabiton	NA	12	Canberra	13	Canberra	http://www.isuresults.com/bios/isufs00008023.htm	Jason	DALE
Andrew DODDS	AUS	1991-08-02	Gold Coast	175	Gold Coast	NA	music, movies, food	1995	Boondall FSC	Margaret Nicholls	Margaret Nicholls	NA	24	Gold Coast	24	Gold Coast	http://www.isuresults.com/bios/isufs00010911.htm	Andrew	DODDS
Jordan DODDS	AUS	1993-10-29	Gold Coast	180	Gold Coast	student	Game of Thrones, video games	1998	Boondall FSC, Brisbane	Margaret Nicholls	Margaret Nicholls	NA	17	Brisbane,  Colorado Springs/USA	25	Colorado Springs/USA	http://www.isuresults.com/bios/isufs00013666.htm	Jordan	DODDS
Charlton DOHERTY	AUS	1998-04-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00054426.htm	Charlton	DOHERTY
Nicholas FERNANDEZ	AUS	1990-05-08	Darlinghurst	172	Cranebrook	athlete	gym, computer, music, dancing	1998	PVSFC Sydney	Sharryn Hollins	Slav Baboshin	NA	13	Sydney	17	Sydney	http://www.isuresults.com/bios/isufs00008337.htm	Nicholas	FERNANDEZ
Daniel HARRIES	AUS	1983-03-22	Townsville	180	Brisbane	Student	computers, movies	1992	Bondall Figure Skating Club	Elena Antonov	Elena Antonov	Colin Jackson, Kirsten Smyth	18	Brisbane	18	Brisbane	http://www.isuresults.com/bios/isufs00003468.htm	Daniel	HARRIES
Cameron HEMMERT	AUS	1995-01-20	Blacktown, NSW	178	Sydney	student	electric & acoustic guitar, gymnastics, par kour, basketball	2005	Sydney FSC	Paul Heuhnergard, Gloria Pracey,  Lee Barkell	Paul Heuhnergard, Cameron Medhurst	NA	15	Barrie/CAN	30	Sydney	http://www.isuresults.com/bios/isufs00013039.htm	Cameron	HEMMERT
